id;name;popular name;description;for;against
11;הצעה מס' 11;שם מגניב 11;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
12;הצעה מס' 12;שם מגניב 12;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
13;הצעה מס' 13;שם מגניב 13;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
14;הצעה מס' 14;שם מגניב 14;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
15;הצעה מס' 15;שם מגניב 15;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
16;הצעה מס' 16;שם מגניב 16;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
17;הצעה מס' 17;שם מגניב 17;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
18;הצעה מס' 18;שם מגניב 18;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
19;הצעה מס' 19;שם מגניב 19;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
20;הצעה מס' 20;שם מגניב 20;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
21;הצעה מס' 21;שם מגניב 21;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
22;הצעה מס' 22;שם מגניב 22;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
23;הצעה מס' 23;שם מגניב 23;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
24;הצעה מס' 24;שם מגניב 24;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
25;הצעה מס' 25;שם מגניב 25;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
26;הצעה מס' 26;שם מגניב 26;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
27;הצעה מס' 27;שם מגניב 27;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,10,11,12;1,2,3,4
28;הצעה מס' 28;שם מגניב 28;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;5,6,7,8,9,11,12;1,2,4
29;הצעה מס' 29;שם מגניב 29;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,3,4;5,6,7,8,9,10,11,12
30;הצעה מס' 30;שם מגניב 30;שר החינוך יקבע הוראות שמטרתן לעודד צעירים מצטיינים לפנות לתחום ההוראה. המועמדים יקבלו הכשרה אקדמית הכוללת לימודים לתואר שני ולתעודת הוראה וישתלבו במערכת החינוך בסופה. כמו כן, מוצע לקבוע אזורי עדיפות ומקצועות בעלי עדיפות לעבודה, ולתגמל מורים שיבחרו בהם לעוד שם או במקצוע בו חסרים מורים.;1,2,4;5,6,7,8,9,11,12
